image	caption
/content/MediaEval_NewsImages/Training Dataset/UVdfUQoOBkB-XR8FAA5UCAxRQ3JXT19X.jpg	Berliner Bildungssenatorin stops intimate tattoo check for incoming teachers The Senate Administration for Education in Berlin demanded to document future teaching staff on which parts of the body are tattoos and what significance they represent for the respective persons. The procedere to date is now being revised.
/content/MediaEval_NewsImages/Training Dataset/UVdfUFhdBBYpUUFXBgtVX1VdRX4DHQYG.jpg	Significant break in German industrial production in March 2022 Production in the German industry recorded the strongest drop in March compared to the previous month since the Corona crisis. According to Commerzbank's chief economist, industrial production tends to continue downward. The prices will rise.
/content/MediaEval_NewsImages/Training Dataset/UVdfUFsPBEEpUUFXBgtRWwtSRXsGSV5Q.jpg	After the turn of interest in the USA: stock markets and cryptocurrencies in free fall On Friday, the German stock index continued its series of losses, which took place since the beginning of the year, in response to a tighter monetary policy by the US central band. On Thursday, Bitcoin fell from 38,000 to 34,000 euros to a ten-week low within a few hours – only gold remains stable.
/content/MediaEval_NewsImages/Training Dataset/UVdfUQ9eVUspUUFXBgtTC1gGRylVGFUG.jpg	Shooting in Duisburg: Apparently Fehde between Rockers and Turkish-Arab Clan A shooting on an open street in Duisburg ensures shock and discussions. It is traced to a conflict between the rocker group Hell's Angels and a Turkish-Arab clans. Four people were injured. 15 arrested are released.
/content/MediaEval_NewsImages/Training Dataset/UVdfUQ0JUBB-XR8FAA5UC1pSQC0GHQIA.jpg	Head of U.S. Nuclear Deterrent finds USA no longer deterrent enough During a hearing in the US Senate, Admiral Charles A. Richard, head of the US Strategic Command (STRATCOM), declared that the United States had a deterrent and vulnerability to its rivals. These rivals are Russia and China.
/content/MediaEval_NewsImages/Training Dataset/UVdfVg0MARcpUUFXBgtUUA9SRHIBSQVV.jpg	How the Odessa massacre became a turning point for Ukraine Eight years ago something significant happened in Odessa, a historically important city in the southwest of Ukraine. Although the West did not want to consider it this way, what was happening there became for Russia and the newly founded Donbass republics at a turn of times.
/content/MediaEval_NewsImages/Training Dataset/UVdfUA8LUBZ-XR8FAA5RDw4GQC9WQV5U.jpg	At least 22 dead and more than 60 injured in explosion at luxury hotel in Havana At an explosion at Hotel Saratoga in the Cuban capital Havana, at least 22 people have died according to the authorities. Another 64 injuries suffered. President Miguel Díaz-Canel spoke of a permanent accident.
/content/MediaEval_NewsImages/Training Dataset/UVdfUFoMBxN-XR8FAA5RUQ9QQHkBGFcA.jpg	Mariupol: relatives can be found after two months of separation Just two months ago, Yuri lost contact with his aunt and uncle living in Mariupol and found her again. An exclusive report.
/content/MediaEval_NewsImages/Training Dataset/UVdfU1kJUEJ-XR8FAA5RUAxSQSgGS1YA.jpg	Berlin Police Determined After Attacking Buildings of Russian Agency RIA Nowosti In Berlin, a building was attacked on Friday afternoon, where journalists from the Russian news agency RIA Nowosti live. After the incident, the Berlin police found a suspected object in a light shaft of the building and made it harmless.
/content/MediaEval_NewsImages/Training Dataset/UVdfUQxbVRR-XR8FAA5UC1pSQC0GHQFT.jpg	India stops mandatory COVID-19 vaccination and criticizes WHO methodology for corona pay The Supreme Court of India notes that no citizen is allowed to be impoverished. The WHO names about ten times as many deceased in India as the official Indian Corona statistics. A protest note in India formulates more acute criticism of the WHO methodology.
